Action,RPG,Sports,Multiplayer,OpenWorld,Rating_M,Success
Yes,No,No,Online,Open,Mature,AAA
No,Yes,No,Online,Open,Mature,AAA
Yes,No,No,Online,Limited,Teen,Mid
No,Yes,No,Online,Open,Mature,AAA
Yes,No,Yes,Offline,Limited,Teen,Indie
No,Yes,No,Online,Open,Teen,Mid
Yes,No,No,Online,Limited,Mature,Mid
No,No,Yes,Offline,Limited,Teen,Indie
Yes,Yes,No,Online,Open,Mature,AAA
No,No,Yes,Online,Limited,Teen,Mid
Yes,No,No,Online,Open,Mature,AAA
No,Yes,No,Online,Limited,Teen,Mid
Yes,No,Yes,Offline,Limited,Teen,Indie
No,No,Yes,Online,Limited,Teen,Mid
Yes,Yes,No,Online,Open,Mature,AAA
No,Yes,No,Online,Open,Teen,Mid
Yes,No,No,Offline,Limited,Mature,Indie
No,No,Yes,Online,Limited,Teen,Mid
Yes,No,No,Online,Open,Mature,AAA
No,Yes,No,Online,Limited,Teen,Mid
Yes,No,Yes,Online,Limited,Teen,Mid
No,No,Yes,Offline,Limited,Teen,Indie
Yes,Yes,No,Online,Open,Mature,AAA
No,Yes,No,Online,Open,Teen,Mid
Yes,No,No,Online,Limited,Mature,Mid
No,No,Yes,Offline,Limited,Teen,Indie
Yes,No,No,Online,Open,Mature,AAA
No,Yes,No,Online,Limited,Teen,Mid
Yes,No,Yes,Online,Limited,Teen,Mid
No,No,Yes,Offline,Limited,Teen,Indie
Yes,Yes,No,Online,Open,Mature,AAA
No,Yes,No,Online,Open,Teen,AAA
Yes,No,No,Offline,Limited,Mature,Indie
No,No,Yes,Online,Limited,Teen,Mid
Yes,No,No,Online,Open,Mature,AAA
No,Yes,No,Online,Limited,Teen,Mid
Yes,No,Yes,Online,Limited,Teen,Mid
No,No,Yes,Offline,Limited,Teen,Indie
Yes,Yes,No,Online,Open,Mature,AAA
No,Yes,No,Online,Open,Teen,Mid
Yes,No,No,Online,Limited,Mature,Mid
No,No,Yes,Offline,Limited,Teen,Indie
Yes,No,No,Online,Open,Mature,AAA
No,Yes,No,Online,Limited,Teen,Mid
Yes,No,Yes,Offline,Limited,Teen,Mid
No,No,Yes,Online,Limited,Teen,Indie
Yes,Yes,No,Online,Open,Mature,AAA
No,Yes,No,Online,Open,Teen,Mid
Yes,No,No,Offline,Limited,Mature,Indie
No,No,Yes,Online,Limited,Teen,Mid
Yes,No,No,Online,Open,Mature,AAA
No,Yes,No,Online,Limited,Teen,Mid
Yes,No,Yes,Online,Limited,Teen,Mid
No,No,Yes,Offline,Limited,Teen,Indie
Yes,Yes,No,Online,Open,Mature,AAA
No,Yes,No,Online,Open,Teen,AAA
Yes,No,No,Online,Limited,Mature,Mid
No,No,Yes,Offline,Limited,Teen,Indie
Yes,No,No,Online,Open,Mature,AAA
No,Yes,No,Online,Limited,Teen,Mid
Yes,No,Yes,Online,Limited,Teen,Mid
No,No,Yes,Offline,Limited,Teen,Indie
Yes,Yes,No,Online,Open,Mature,AAA
No,Yes,No,Online,Open,Teen,Mid
Yes,No,No,Offline,Limited,Mature,Indie
No,No,Yes,Online,Limited,Teen,Mid
Yes,No,No,Online,Open,Mature,AAA
No,Yes,No,Online,Limited,Teen,Mid
Yes,No,Yes,Online,Limited,Teen,Mid
No,No,Yes,Offline,Limited,Teen,Indie
Yes,Yes,No,Online,Open,Mature,AAA
No,Yes,No,Online,Open,Teen,Mid
Yes,No,No,Online,Limited,Mature,Mid
No,No,Yes,Offline,Limited,Teen,Indie
Yes,No,No,Online,Open,Mature,AAA
No,Yes,No,Online,Limited,Teen,Mid
Yes,No,Yes,Offline,Limited,Teen,Mid
No,No,Yes,Online,Limited,Teen,Indie
Yes,Yes,No,Online,Open,Mature,AAA
No,Yes,No,Online,Open,Teen,AAA
Yes,No,No,Online,Limited,Mature,Mid
No,No,Yes,Offline,Limited,Teen,Indie
Yes,No,No,Online,Open,Mature,AAA
No,Yes,No,Online,Limited,Teen,Mid
Yes,No,Yes,Online,Limited,Teen,Mid
No,No,Yes,Offline,Limited,Teen,Indie
Yes,Yes,No,Online,Open,Mature,AAA
No,Yes,No,Online,Open,Teen,Mid
Yes,No,No,Offline,Limited,Mature,Indie
No,No,Yes,Online,Limited,Teen,Mid
Yes,No,No,Online,Open,Mature,AAA
No,Yes,No,Online,Limited,Teen,Mid
Yes,No,Yes,Online,Limited,Teen,Mid
No,No,Yes,Offline,Limited,Teen,Indie
Yes,Yes,No,Online,Open,Mature,AAA
No,Yes,No,Online,Open,Teen,Mid
Yes,No,No,Online,Limited,Mature,Mid
No,No,Yes,Offline,Limited,Teen,Indie
Yes,No,No,Online,Open,Mature,AAA
No,Yes,No,Online,Limited,Teen,Mid
Yes,No,Yes,Offline,Limited,Teen,Mid
No,No,Yes,Online,Limited,Teen,Indie

